ORF,Ribo_Prints,RNA_Prints,length
ENST00000421627,0,0.053326218,3165
ENST00000396757,0,0.0555336,662
ENST00000254043,0,0.055806327,1712
ENST00000290378,98.94077357,0.057458112,1382
ENST00000311623,149.8639932,0.07178255,788
ENST00000371443,1488.044129,0.078727395,582
ENST00000543580,50.70593063,0.08139047,1755
ENST00000617331,0,0.087389861,537
ENST00000543950,55.71973074,0.089114037,1885
ENST00000545257,0,0.090111533,2160
ENST00000623936,0,0.094373565,75
ENST00000317040,663.8958022,0.095991505,1250
ENST00000432569,0,0.101489946,585
ENST00000231749,0,0.104572457,1774
ENST00000312579,549.913721,0.107870719,963
ENST00000247665,437.8441731,0.110674625,577
ENST00000552360,234.9284826,0.11412492,839
ENST00000587708,0,0.115520466,1124
ENST00000394620,0,0.116695587,862
ENST00000592984,25.81103798,0.11763826,563
ENST00000394349,23.98338165,0.122881022,632
ENST00000372036,0,0.124064579,633
ENST00000245812,726.5443463,0.124316783,970
ENST00000447274,90.8272685,0.126685437,2138
ENST00000398712,350.7593756,0.130378937,1348
ENST00000247470,81.19175217,0.130533787,757
ENST00000445369,0,0.131822428,1583
ENST00000322177,66.44045145,0.131854738,2355
ENST00000240185,0,0.133114731,4185
ENST00000296877,0,0.133196578,861
ENST00000314567,145.8370421,0.135567528,1489
ENST00000358514,501.2915314,0.136933443,977
ENST00000240617,0,0.137920089,1960
ENST00000345046,0,0.137944179,1284
ENST00000377049,0,0.138079754,914
ENST00000356864,0,0.13861598,1395
ENST00000436066,111.3853556,0.139173938,1699
ENST00000264601,0,0.139191355,1603
ENST00000353704,0,0.139401798,1496
ENST00000334982,15.87984712,0.140904559,1040
ENST00000266263,1073.006978,0.141179486,1133
ENST00000261692,1059.742063,0.141401477,1346
ENST00000354190,31.67504858,0.141805137,1977
ENST00000283871,0,0.14252903,1674
ENST00000594051,65.276022,0.143032012,2129
ENST00000215570,10441.54076,0.143975465,1664
ENST00000367882,26.56390719,0.14404117,1280
ENST00000347063,0,0.144529885,1358
ENST00000334176,0,0.144697582,2453
ENST00000263278,27.83196597,0.144787446,1050
ENST00000369099,0,0.14482008,509
ENST00000399810,0,0.145158282,2028
ENST00000306262,0,0.145337811,779
ENST00000403610,13.40566417,0.145516322,1184
ENST00000368716,28.51613953,0.145958156,513
ENST00000317449,0,0.146078677,2212
ENST00000449291,56.62702194,0.146125392,1682
ENST00000302907,467.2533061,0.146824068,713
ENST00000545496,0,0.147005176,2158
ENST00000261623,1883.592725,0.148221098,692
ENST00000521072,0,0.148255811,3585
ENST00000369738,0,0.14900685,2293
ENST00000356887,103.9121929,0.149072997,1805
ENST00000394252,0,0.149174012,1316
ENST00000313250,184.0781097,0.149535048,1264
ENST00000323146,0,0.149660081,2666
ENST00000263864,174.7119502,0.149758357,679
ENST00000301634,32.66524825,0.150053968,1431
ENST00000265132,0,0.150235462,1262
ENST00000301336,96.5490688,0.150372455,1560
ENST00000305631,0,0.150392256,3834
ENST00000409293,519.0867882,0.151087309,870
ENST00000221543,0,0.15115814,2095
ENST00000555868,0,0.151543977,3969
ENST00000262462,0,0.151831759,2863
ENST00000236959,0,0.152120502,1972
ENST00000002596,0,0.152196845,7160
ENST00000298649,0,0.153288867,3229
ENST00000408888,0,0.153507185,1847
ENST00000219150,0,0.153668568,1623
ENST00000264012,22.37327518,0.154190846,4452
ENST00000444643,0,0.154515072,2967
ENST00000232501,0,0.154845185,1542
