name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,length
YAL012W,chrI,+,130798,131983,130798,131983,1,"130798,","131983,",CYS3,1185
YAL055W,chrI,+,42176,42719,42176,42719,1,"42176,","42719,",PEX22,543
YAL063C,chrI,-,23999,27968,23999,27968,1,"23999,","27968,",FLO9,3969
YAL064W,chrI,+,21565,21850,21565,21850,1,"21565,","21850,",YAL064W,285
YAL041W,chrI,+,62839,65404,62839,65404,1,"62839,","65404,",CDC24,2565
YAL049C,chrI,-,51854,52595,51854,52595,1,"51854,","52595,",AIM2,741
YAL031C,chrI,-,84748,87031,84748,87031,1,"84748,","87031,",GIP4,2283
YAL034C-B,chrI,-,79488,79842,79488,79842,1,"79488,","79842,",YAL034C-B,354
YAL025C,chrI,-,100224,101145,100224,101145,1,"100224,","101145,",MAK16,921
YAL040C,chrI,-,65777,67520,65777,67520,1,"65777,","67520,",CLN3,1743
YAL056C-A,chrI,-,38695,39046,38695,39046,1,"38695,","39046,",YAL056C-A,351
YAL034W-A,chrI,+,79717,80587,79717,80587,1,"79717,","80587,",MTW1,870
YAL048C,chrI,-,52800,54789,52800,54789,1,"52800,","54789,",GEM1,1989
YAL013W,chrI,+,129269,130487,129269,130487,1,"129269,","130487,",DEP1,1218
YAL067W-A,chrI,+,2479,2707,2479,2707,1,"2479,","2707,",YAL067W-A,228
YAL032C,chrI,-,83334,84474,83334,84474,1,"83334,","84474,",PRP45,1140
YAL024C,chrI,-,101564,105872,101564,105872,1,"101564,","105872,",LTE1,4308
YAL038W,chrI,+,71785,73288,71785,73288,1,"71785,","73288,",CDC19,1503
YAL026C,chrI,-,95629,99697,95629,99697,1,"95629,","99697,",DRS2,4068
YAL047C,chrI,-,54988,56857,54988,56857,1,"54988,","56857,",SPC72,1869
YAL014C,chrI,-,128251,129019,128251,129019,1,"128251,","129019,",SYN8,768
YAL066W,chrI,+,10090,10399,10090,10399,1,"10090,","10399,",YAL066W,309
YAL047W-A,chrI,+,54583,54913,54583,54913,1,"54583,","54913,",YAL047W-A,330
YAL037W,chrI,+,74019,74823,74019,74823,1,"74019,","74823,",YAL037W,804
YAL054C,chrI,-,42880,45022,42880,45022,1,"42880,","45022,",ACS1,2142
YAL046C,chrI,-,57028,57385,57028,57385,1,"57028,","57385,",AIM1,357
YAL039C,chrI,-,68715,69525,68715,69525,1,"68715,","69525,",CYC3,810
YAL068W-A,chrI,+,537,792,537,792,1,"537,","792,",YAL068W-A,255
YAL065C,chrI,-,11564,11951,11564,11951,1,"11564,","11951,",YAL065C,387
YAL015C,chrI,-,126902,128102,126902,128102,1,"126902,","128102,",NTG1,1200
YAL064W-B,chrI,+,12045,12426,12045,12426,1,"12045,","12426,",YAL064W-B,381
YAL030W,chrI,+,87285,87752,87285,87752,2,"87285,87500,","87387,87752,",SNC1,354
YAL016C-A,chrI,-,124754,125069,124754,125069,1,"124754,","125069,",YAL016C-A,315
YAL016C-B,chrI,-,124306,124492,124306,124492,1,"124306,","124492,",YAL016C-B,186
